created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,value,value_link_source,PUSPEN/POLRI/DLL,LINK
Thu Jan 11 02:09:03 +0000 2024,1745266538960294287,"Anggota TNI AD Terlibat Sindikat Curanmor, Pomdam V Brawijaya Akan Telusuri Lebih Lanjut  https://t.co/262Fb2lKFc",0,0,0,0,in,1720094652534263808,1745266538960294287,nusantara_kini,https://twitter.com/nusantara_kini/status/1745266538960294287,FAKTA,CNN Indonesia,,
Thu Jan 11 02:08:46 +0000 2024,1745266469305491906,"@Goodwindology @0_oOen Kek nya 165 an tuh yang tni, standar lah buat orang indo",0,0,0,0,in,1098356644696576000,1744939967456170326,Ontahewan,https://twitter.com/Ontahewan/status/1745266469305491906,HOAX,,,
Thu Jan 11 02:05:53 +0000 2024,1745265744882131039,"Guna menjaga keamanan dan ketertiban masyarakat (kamtibmas) di Desa Panyingkiran, Kecamatan Panyingkiran, Kabupaten Majalengka, Bhabinkamtibmas Polsek Panyingkiran Polres Majalengka Polda Jabar, Bripka Dede Rohimat, melakukan pertemuan dengan unsur TNI, https://t.co/LYE4T7m6n6",0,0,0,0,in,1206735428407050240,1745265744882131039,HumasPolresMaj1,https://twitter.com/HumasPolresMaj1/status/1745265744882131039,FAKTA,https://humas.polri.go.id/2024/01/11/polisi-tni-dan-aparatur-pemerintahan-bersatu-jaga-kamtibmas-di-desa-panyingkiran-menjelang-pemilu-2024/,,
Thu Jan 11 02:05:49 +0000 2024,1745265728436203574,@JamalBoegis @Puspen_TNI Atasan sering bilang begini.. Kenyataan dilapangan beda.. Jd ya.... Gitu dech,0,0,0,0,in,1642785425441034240,1745217613633114242,winimanda354,https://twitter.com/winimanda354/status/1745265728436203574,HOAX,,,
Thu Jan 11 02:04:52 +0000 2024,1745265489813946876,"Kapolda Riau Irjen Mohammad Iqbal bersama Danrem 031/Wira Bima Brigjen TNI Dany Rakca kunjungi warga yang terdampak banjir di Bonai Darussalam, Rokan Hulu.  Baca selengkapnya :👇👇 https://t.co/etwZeJDTbp https://t.co/9f5ePAJaFd",0,0,0,0,in,1098558584541962245,1745265489813946876,PolsekKuntoDs,https://twitter.com/PolsekKuntoDs/status/1745265489813946876,FAKTA,TVRI,,
Thu Jan 11 02:04:06 +0000 2024,1745265295131103625,"Anies salah semua  1. Salah data tanah Prabowo  Harusnya 500 ribu hektar disebut 340 ribu hektar  2. Salah data rumah dinas TNI Harusnya lebih dari separuh (51,7%) tak punya rumdin disebut separuh  3. Salah data serangan siber Harusnya lebih 900 juta disebut hanya lebih 800 juta",2,0,0,0,in,55182219,1745265295131103625,ardhsta,https://twitter.com/ardhsta/status/1745265295131103625,FAKTA,https://www.detik.com/sumbagsel/berita/d-7131918/anies-bilang-separuh-tentara-tak-punya-rumah-dinas-ini-kata-mabes,,
Thu Jan 11 02:03:06 +0000 2024,1745265045372879019,"Pangkostrad Letnan Jenderal TNI Muhammad Saleh Mustafa Direktur Utama PT SHS Adhi Cahyono Nugroho, melaksanakan kegiatan gerakan nasional ketahanan pangan melalui penanaman perdana budi daya padi di lumbung pangan Sang Hyang Seri.  #BUMNDukungPangan #SangHyangSeri https://t.co/cYVHwb6Rqr",0,0,0,0,in,1627588305759129600,1745265045372879019,JTzen_SBY_Jago,https://twitter.com/JTzen_SBY_Jago/status/1745265045372879019,FAKTA,https://ptsanghyangseri.co.id/,,
Thu Jan 11 02:02:39 +0000 2024,1745264928288907485,"Panglima Kostrad (Pangkostrad) Letnan Jenderal TNI Muhammad Saleh Mustafa Direktur Utama PT Sang Hyang Seri Adhi Cahyono Nugroho, melaksanakan kegiatan gerakan nasional ketahanan pangan melalui penanaman perdana budi daya padi di lumbung pangan Sang Hyang Seri. https://t.co/DUFHpJBbDV",0,1,0,0,in,1624996270678110208,1745264928288907485,Captaintbt_nk,https://twitter.com/Captaintbt_nk/status/1745264928288907485,FAKTA,https://ptsanghyangseri.co.id/,,
Thu Jan 11 02:02:35 +0000 2024,1745264914095362064,"Kenalkan Anak Didiknya Kepada TNI, TK Ibnu Sina Jatisrono Kunjungi Makoramil https://t.co/mQdixqFsHF https://t.co/t5cSmcEIkf",0,0,0,0,in,1156022541862895616,1745264914095362064,SinarTerkini,https://twitter.com/SinarTerkini/status/1745264914095362064,FAKTA,LintasJatimNews.com,,
Thu Jan 11 02:02:11 +0000 2024,1745264810969981016,@Anggita_lung Semoga anggota TNI yg bertugas diberikan perlindungan dan keselamatan selama mengamankan papua dan bisa kembali ke keluarga dg keadaan sehat. Semangat 💪 utk TNI selamat berjuang,0,0,0,0,in,1310446569490010112,1745240609982689431,mieayam_jamur,https://twitter.com/mieayam_jamur/status/1745264810969981016,FAKTA,https://www.kompas.tv/regional/473154/pangkostrad-temui-warga-dan-pasukan-pandawa-kostrad-di-kenyam-nduga,,
